1	0	205
2	205	210
3	415	202
4	617	215
5	832	229
7	1061	207
9	1268	215
11	1483	4458
12	5941	11827
14	17768	3579
16	21347	605
17	21952	13920
18	35872	13445
19	49317	7533
20	56850	29565
21	86415	5007
22	91422	8048
23	99470	4643
24	104113	3496
25	107609	3933
26	111542	5044
27	116586	2247
28	118833	1885
29	120718	2501
30	123219	4301
31	127520	3295
32	130815	3167
33	133982	4246
34	138228	2806
35	141034	8381
37	149415	3368
41	152783	5216
43	157999	8034
46	166033	9234
47	175267	18428
48	193695	2253
51	195948	6976
54	202924	7376
56	210300	2064
57	212364	891
58	213255	2424
59	215679	1842
60	217521	2736
61	220257	3312
62	223569	2003
63	225572	2378
64	227950	1665
65	229615	2385
66	232000	1679
67	233679	1670
68	235349	1336
69	236685	5114
70	241799	1522
71	243321	3555
72	246876	2313
73	249189	1302
74	250491	3627
75	254118	2154
76	256272	4696
77	260968	286
78	261254	275
79	261529	286
80	261815	299
81	262114	285
82	262399	303
83	262702	85
84	262787	85
86	262872	18609
88	281481	12153
89	293634	9373
90	303007	8842
91	311849	7147
92	318996	13989
95	332985	14200
99	347185	17980
100	365165	6474
101	371639	14288
102	385927	14160
103	400087	791
104	400878	455
105	401333	299
106	401632	16353
107	417985	5331
108	423316	2307
109	425623	4280
110	429903	8600
111	438503	12563
112	451066	3003
113	454069	9137
114	463206	4454
115	467660	12613
116	480273	10186
117	490459	5416
118	495875	1955
119	497830	6970
120	504800	6437
121	511237	3941
122	515178	7840
123	523018	14081
124	537099	4548
125	541647	5636
126	547283	2121
127	549404	4164
128	553568	3893
129	557461	2855
130	560316	3126
131	563442	9384
132	572826	4565
133	577391	2881
134	580272	2377
135	582649	9633
136	592282	4697
137	596979	6058
138	603037	7129
139	610166	5263
140	615429	3590
141	619019	3727
142	622746	17359
143	640105	2393
144	642498	4424
145	646922	5851
146	652773	2491
147	655264	6471
148	661735	3572
149	665307	4914
150	670221	16100
151	686321	2569
152	688890	3201
153	692091	5181
154	697272	8953
155	706225	7043
156	713268	8779
157	722047	21614
158	743661	17847
159	761508	5377
160	766885	5079
161	771964	3952
162	775916	7025
163	782941	5856
164	788797	2691
165	791488	5036
166	796524	10046
167	806570	4486
168	811056	4630
169	815686	8053
170	823739	5594
171	829333	2394
172	831727	4457
173	836184	8175
174	844359	3919
175	848278	11529
176	859807	8876
177	868683	3937
178	872620	1897
179	874517	3980
180	878497	4392
181	882889	3481
182	886370	5493
183	891863	15790
184	907653	31763
185	939416	11792
186	951208	2812
187	954020	3531
188	957551	2190
189	959741	4104
190	963845	3567
191	967412	2478
192	969890	9566
193	979456	2618
194	982074	2923
195	984997	4140
196	989137	3555
197	992692	2893
198	995585	13616
199	1009201	3383
200	1012584	974
201	1013558	3019
202	1016577	4316
203	1020893	3239
204	1024132	9876
205	1034008	7690
206	1041698	5952
207	1047650	8264
208	1055914	26665
209	1082579	12004
210	1094583	15358
211	1109941	40211
212	1150152	32904
213	1183056	4947
214	1188003	15285
215	1203288	23275
216	1226563	4136
217	1230699	2281
218	1232980	2728
219	1235708	4187
220	1239895	8816
221	1248711	5427
222	1254138	243
223	1254381	3284
224	1257665	8599
225	1266264	2746
226	1269010	2398
228	1271408	1987
229	1273395	2684
231	1276079	1417
232	1277496	6597
233	1284093	3274
234	1287367	21044
235	1308411	4874
236	1313285	1608
237	1314893	7384
238	1322277	301
239	1322578	36387
240	1358965	6012
241	1364977	4572
242	1369549	5063
243	1374612	2886
244	1377498	1978
245	1379476	10466
246	1389942	2319
247	1392261	4610
248	1396871	7468
249	1404339	5643
250	1409982	6343
251	1416325	5644
252	1421969	7716
253	1429685	10132
254	1439817	11126
255	1450943	13454
256	1464397	817
257	1465214	1405
258	1466619	825
259	1467444	1480
260	1468924	813
262	1469737	1421
263	1471158	1429
264	1472587	1533
266	1474120	870
267	1474990	1488
268	1476478	873
269	1477351	1496
270	1478847	1399
271	1480246	861
272	1481107	1424
274	1482531	867
275	1483398	1509
276	1484907	1507
277	1486414	1468
278	1487882	811
279	1488693	830
280	1489523	1426
281	1490949	862
283	1491811	1404
285	1493215	1420
286	1494635	1412
287	1496047	813
288	1496860	1473
289	1498333	1482
290	1499815	1356
291	1501171	1451
292	1502622	1497
293	1504119	814
294	1504933	1461
295	1506394	1683
296	1508077	1411
297	1509488	1469
298	1510957	1439
300	1512396	1367
301	1513763	1374
302	1515137	878
303	1516015	1512
304	1517527	827
305	1518354	820
306	1519174	846
307	1520020	809
309	1520829	819
310	1521648	820
311	1522468	1553
312	1524021	808
313	1524829	1460
314	1526289	1449
315	1527738	825
317	1528563	2561
318	1531124	5101
319	1536225	3700
321	1539925	4820
323	1544745	3286
325	1548031	2809
336	1550840	11143
337	1561983	12662
338	1574645	1197
339	1575842	5644
340	1581486	4147
341	1585633	5178
342	1590811	18813
343	1609624	5517
344	1615141	5418
345	1620559	17794
346	1638353	249
347	1638602	249
348	1638851	279
349	1639130	238
350	1639368	303
351	1639671	231
352	1639902	240
353	1640142	222
354	1640364	229
355	1640593	243
356	1640836	255
358	1641091	216
359	1641307	273
360	1641580	237
362	1641817	237
363	1642054	234
364	1642288	264
365	1642552	267
366	1642819	4807
367	1647626	8193
368	1655819	10035
369	1665854	1300
370	1667154	7507
373	1674661	8752
374	1683413	5355
376	1688768	1429
378	1690197	3718
379	1693915	1496
381	1695411	12149
382	1707560	8344
383	1715904	3522
384	1719426	4869
386	1724295	2832
387	1727127	3180
388	1730307	24375
389	1754682	2009
390	1756691	2943
391	1759634	1149
393	1760783	17662
394	1778445	14924
395	1793369	3832
396	1797201	6374
397	1803575	9968
398	1813543	7901
399	1821444	4340
400	1825784	6780
401	1832564	6234
402	1838798	3194
403	1841992	2551
404	1844543	1582
405	1846125	4016
406	1850141	3256
407	1853397	3844
408	1857241	2985
409	1860226	28742
410	1888968	7248
411	1896216	6266
412	1902482	1761
413	1904243	1796
414	1906039	1540
415	1907579	1221
